name,link,number,ean,manufacturerNumber,price,currency
Xerox Schwarz Original Toner (entspricht: HP 312X) XXL (006R03252),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-312x-xxl-p-306531/?cPath=2_3848_5130_5713_5714_17677,,0095205827736,006R03252,63.49,€
Xerox Schwarz Original Toner (entspricht: HP 651A) 13500 Seiten (006R03214),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-651a-13500-seiten-p-306548/?cPath=2_3848_5130_5713_5714_17677,,0095205869644,006R03214,91.49,€
Xerox Schwarz Original Toner (entspricht: HP 653X) 21.400 Seiten (006R03331),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-653x-21400-seiten-p-306557/?cPath=2_3848_5130_5713_5714_17677,,0095205838787,006R03331,139.49,€
Xerox Schwarz Original Toner (entspricht: HP 82X) 20000 Seiten (003R97027),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-hp-82x-20000-seiten-p-306536/?cPath=2_3848_5130_5713_5714_17677,,5017534970278,003R97027,124.89,€
Xerox Original Schwarz Toner (entspricht: OKI 44469804) 5000 Seiten (006R03189),http://www.future-x.de/xerox-original-schwarz-toner-entspricht%3A-oki-44469804-5000-seiten-p-306561/?cPath=2_3848_5130_5713_5714_17677,,0095205864441,006R03189,44.49,€
Xerox Schwarz Original Toner (entspricht: Brother TN1050) 1000 Seiten (006R03352),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn1050-1000-seiten-p-306553/?cPath=2_3848_5130_5713_5714_17677,,0095205838886,006R03352,29.89,€
Xerox Schwarz Original Toner (entspricht: Brother TN2320) 2600 Seiten (006R03330),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn2320-2600-seiten-p-306537/?cPath=2_3848_5130_5713_5714_17677,,0095205838770,006R03330,48.89,€
Xerox Schwarz Original Toner (entspricht: Brother TN241BK) 2500 Seiten (006R03261),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn241bk-2500-seiten-p-306529/?cPath=2_3848_5130_5713_5714_17677,,0095205827866,006R03261,40.89,€
Xerox Schwarz Original Toner (entspricht: Brother TN242BK) 2.500 Seiten (006R03326),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn242bk-2500-seiten-p-306550/?cPath=2_3848_5130_5713_5714_17677,,0095205838732,006R03326,44.49,€
Xerox Schwarz Original Toner (entspricht: Brother TN3380) 8000 Seiten (006R03194),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn3380-8000-seiten-p-306545/?cPath=2_3848_5130_5713_5714_17677,,0095205864496,006R03194,67.89,€
Xerox Schwarz Original Toner (entspricht: Brother TN3390) 12200 Seiten (006R03265),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-brother-tn3390-12200-seiten-p-306533/?cPath=2_3848_5130_5713_5714_17677,,0095205827903,006R03265,77.89,€
Xerox Schwarz Original Toner (entspricht: Canon 0263B002) 2700 Seiten (006R03221),http://www.future-x.de/xerox-schwarz-original-toner-entspricht%3A-canon-0263b002-2700-seiten-p-306527/?cPath=2_3848_5130_5713_5714_17677,,0095205869712,006R03221,35.49,€
Xerox Schwarz Original Toner 30000 Seiten (006R01182),http://www.future-x.de/xerox-schwarz-original-toner-30000-seiten-p-305955/?cPath=2_3848_5130_5713_5714_17677,,0095205611823,006R01182,92.49,€
Xerox Toner Schwarz 7.000 Seiten (006R01159),http://www.future-x.de/xerox-toner-schwarz-7000-seiten-p-305954/?cPath=2_3848_5130_5713_5714_17677,,0095205611595,006R01159,80.89,€
Xerox Druckerbildeinheit Laser original bis zu 32.000 Seiten (108R00581),http://www.future-x.de/xerox-druckerbildeinheit-laser-original-bis-zu-32000-seiten-p-305953/?cPath=2_3848_5130_5713_9497,,0095205384901,108R00581,385.49,€
Xerox Magenta Original Tonerpatrone f�r WorkCentre M24 (006R01155),http://www.future-x.de/xerox-magenta-original-tonerpatrone-f%FCr-workcentre-m24-p-302950/?cPath=2_3848_5130_5713_5714_17678,,0095205611557,006R01155,149.89,€
Xerox Magenta Toner 1500 Seiten f�r Phaser 6121MFP/D 6121MFP/N (106R01464),http://www.future-x.de/xerox-magenta-toner-1500-seiten-f%FCr-phaser-6121mfp-d-6121mfp-n-p-302936/?cPath=2_3848_5130_5713_5714_17678,,0095205752311,106R01464,94.49,€
Xerox Standard-Capacity Gelb Original Toner 7500 Seiten f�r Phaser 7300B 7300DN 7300DT 7300DX 7300N (016197500),http://www.future-x.de/xerox-standard-capacity-gelb-original-toner-7500-seiten-f%FCr-phaser-7300b-7300dn-7300dt-7300dx-7300n-p-302953/?cPath=2_3848_5130_5713_5714_17678,,0042215484961,016197500,249.89,€
Xerox Standard-Capacity Magenta Original Toner 7500 Seiten f�r Phaser 7300B 7300DN (016197400),http://www.future-x.de/xerox-standard-capacity-magenta-original-toner-7500-seiten-f%FCr-phaser-7300b-7300dn-p-302972/?cPath=2_3848_5130_5713_5714_17678,,0042215484954,016197400,250.49,€
Xerox Magenta Original Toner 4000 Seiten f�r Phaser 6250B 6250DNM 6250DP 6250DT (106R00669),http://www.future-x.de/xerox-magenta-original-toner-4000-seiten-f%FCr-phaser-6250b-6250dnm-6250dp-6250dt-p-302933/?cPath=2_3848_5130_5713_5714_17678,,0095205770070,106R00669,149.49,€
Xerox Magenta Original Toner 4000 Seiten f�r Phaser 6300DN 6300DP 6300N 6350DP (106R01074),http://www.future-x.de/xerox-magenta-original-toner-4000-seiten-f%FCr-phaser-6300dn-6300dp-6300n-6350dp-p-302935/?cPath=2_3848_5130_5713_5714_17678,,0095205062328,106R01074,192.49,€
Xerox Magenta Original Toner 5900 Seiten f�r Phaser 780 Plus (016168000),http://www.future-x.de/xerox-magenta-original-toner-5900-seiten-f%FCr-phaser-780-plus-p-302951/?cPath=2_3848_5130_5713_5714_17678,,0042215448048,016168000,61.49,€
Xerox Magenta Original Toner 11000 Seiten f�r WorkCentre C226 C226P C226U (006R01242),http://www.future-x.de/xerox-magenta-original-toner-11000-seiten-f%FCr-workcentre-c226-c226p-c226u-p-302947/?cPath=2_3848_5130_5713_5714_17678,,0095205612424,006R01242,133.49,€
Xerox Magenta Original Toner 15000 Seiten f�r WorkCentre 7120 7125 7220 (006R01459),http://www.future-x.de/xerox-magenta-original-toner-15000-seiten-f%FCr-workcentre-7120-7125-7220-p-302944/?cPath=2_3848_5130_5713_5714_17678,,0095205614596,006R01459,95.89,€
Xerox Magenta Original Toner 34000 Seiten f�r Colour C60 C70 (006R01657),http://www.future-x.de/xerox-magenta-original-toner-34000-seiten-f%FCr-colour-c60-c70-p-302973/?cPath=2_3848_5130_5713_5714_17678,,0095205616576,006R01657,118.49,€
Xerox High Capacity Gelb Original Toner 4500 Seiten f�r Phaser 6115MFP/D 6115MFP/N 6120 (113R00694),http://www.future-x.de/xerox-high-capacity-gelb-original-toner-4500-seiten-f%FCr-phaser-6115mfp-d-6115mfp-n-6120-p-302940/?cPath=2_3848_5130_5713_5714_17678,,0095205219463,113R00694,179.89,€
Xerox High Capacity Magenta Original Toner 10000 Seiten f�r Phaser 7700DN 7700DX 7700GX (016-1945-00),http://www.future-x.de/xerox-high-capacity-magenta-original-toner-10000-seiten-f%FCr-phaser-7700dn-7700dx-7700gx-p-302965/?cPath=2_3848_5130_5713_5714_17678,,0042215483100,016-1945-00,102.49,€
Xerox High-Capacity High Capacity Cyan original Toner 5000 Seiten f�r Phaser 6100 6100BD (106R00680),http://www.future-x.de/xerox-high-capacity-high-capacity-cyan-original-toner-5000-seiten-f%FCr-phaser-6100-6100bd-p-302961/?cPath=2_3848_5130_5713_5714_17678,,0095205304190,106R00680,161.49,€
Xerox High Capacity Cyan Original Toner 8000 Seiten f�r Phaser 6250 6250B x (106R00672),http://www.future-x.de/xerox-high-capacity-cyan-original-toner-8000-seiten-f%FCr-phaser-6250-6250b-x-p-302932/?cPath=2_3848_5130_5713_5714_17678,,0095205770100,106R00672,252.49,€
Xerox Gelb Original Toner 8000 Seiten f�r WorkCentre 7132 (006R01263),http://www.future-x.de/xerox-gelb-original-toner-8000-seiten-f%FCr-workcentre-7132-p-302931/?cPath=2_3848_5130_5713_5714_17678,,0095205612639,006R01263,93.49,€
Xerox High Capacity Cyan Original Toner 10000 Seiten f�r Phaser 7700DN 7700DX 7700GX (016194400),http://www.future-x.de/xerox-high-capacity-cyan-original-toner-10000-seiten-f%FCr-phaser-7700dn-7700dx-7700gx-p-302952/?cPath=2_3848_5130_5713_5714_17678,,0042215483087,016194400,102.49,€
Xerox High Capacity Cyan Original Toner 7500 Seiten f�r 6655 WorkCentre (106R02744),http://www.future-x.de/xerox-high-capacity-cyan-original-toner-7500-seiten-f%FCr-6655-workcentre-p-302927/?cPath=2_3848_5130_5713_5714_17678,,0095205863918,106R02744,196.49,€
Xerox Gelb Original Toner 1500 Seiten f�r Phaser 6121MFP/D 6121MFP/N 6121MFP/S (106R01465),http://www.future-x.de/xerox-gelb-original-toner-1500-seiten-f%FCr-phaser-6121mfp-d-6121mfp-n-6121mfp-s-p-302948/?cPath=2_3848_5130_5713_5714_17678,,0095205752328,106R01465,93.89,€
Xerox Gelb Original Toner 15000 Seiten f�r WorkCentre 7425 7428 7435 (006R01396),http://www.future-x.de/xerox-gelb-original-toner-15000-seiten-f%FCr-workcentre-7425-7428-7435-p-302939/?cPath=2_3848_5130_5713_5714_17678,,0095205613964,006R01396,128.49,€
Xerox Gelb Original Toner 150000 Seiten f�r WorkCentre 7120 7120s 7220/PT2 7220i 7225i (006R01458),http://www.future-x.de/xerox-gelb-original-toner-150000-seiten-f%FCr-workcentre-7120-7120s-7220-pt2-7220i-7225i-p-302943/?cPath=2_3848_5130_5713_5714_17678,,0095205614589,006R01458,95.89,€
Xerox Gelb Original Toner 22000 Seiten f�r Versant 80 (006R01645),http://www.future-x.de/xerox-gelb-original-toner-22000-seiten-f%FCr-versant-80-p-302938/?cPath=2_3848_5130_5713_5714_17678,,0095205016451,006R01645,67.49,€
